POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,buffer 3a_OPERACION,buffer 3a_TIPO,buffer 3a_LATITUD,buffer 3a_LONGITUD,buffer 3a_M2TOTAL,buffer 3a_PRECIOUSD,buffer 3a_BARRIO,buffer 3a_COMUNA,Matrix_distancia_f_TargetID,Matrix_distancia_f_Distance,Matrix_distancia_f_buffer 3a_OPERACION,Matrix_distancia_f_buffer 3a_TIPO,Matrix_distancia_f_buffer 3a_LATITUD,Matrix_distancia_f_buffer 3a_LONGITUD,Matrix_distancia_f_buffer 3a_M2TOTAL,Matrix_distancia_f_buffer 3a_PRECIOUSD,Matrix_distancia_f_buffer 3a_BARRIO,Matrix_distancia_f_buffer 3a_COMUNA,Matrix_ distancia_S_TargetID,Matrix_ distancia_S_Distance,count_NUMPOINTS,Matriz_distancia_O_TargetID,Matriz_distancia_O_Distance
803,VTA,TERRENO,-34.6306234,-58.4717482,1044,2000000,FLORES NORTE,7,VTA,TERRENO,-34.6306234,-58.4717482,1044,2000000,FLORES NORTE,7,-58.4661766,596.366746186358,VTA,TERRENO,-34.6306234,-58.4717482,1044,2000000,FLORES NORTE,7,-58.4696396292247,193.571200180881,947,Obelisco,8790.41069141206
804,VTA,TERRENO,-34.5495869,-58.4717203,370,750000,SAAVEDRA,12,VTA,TERRENO,-34.5495869,-58.4717203,370,750000,SAAVEDRA,12,-58.4628516,826.619351520302,VTA,TERRENO,-34.5495869,-58.4717203,370,750000,SAAVEDRA,12,-58.4623784082243,1089.18493469296,524,Obelisco,10220.2682232311
805,VTA,TERRENO,-34.5474729,-58.471678,748,1500000,SAAVEDRA,12,VTA,TERRENO,-34.5474729,-58.471678,748,1500000,SAAVEDRA,12,-58.4628516,815.221153929357,VTA,TERRENO,-34.5474729,-58.471678,748,1500000,SAAVEDRA,12,-58.4623784082243,1244.88073757846,486,Obelisco,10356.7887115312
806,VTA,TERRENO,-34.6303056,-58.4716624,1039,1900000,FLORES NORTE,7,VTA,TERRENO,-34.6303056,-58.4716624,1039,1900000,FLORES NORTE,7,-58.4661766,572.03992746581,VTA,TERRENO,-34.6303056,-58.4716624,1039,1900000,FLORES NORTE,7,-58.4696396292247,190.753687823843,931,Obelisco,8771.10833360573
807,VTA,TERRENO,-34.581638,-58.471644,337,1080000,VILLA ORTUZAR,15,VTA,TERRENO,-34.581638,-58.471644,337,1080000,VILLA ORTUZAR,15,-58.4789912,1614.13659714726,VTA,TERRENO,-34.581638,-58.471644,337,1080000,VILLA ORTUZAR,15,-58.4742408261771,242.139653136846,327,Obelisco,8616.80569602425
808,VTA,TERRENO,-34.609996,-58.471583,207,219000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.609996,-58.471583,207,219000,VILLA GRAL. MITRE,11,-58.4661766,2041.76918430468,VTA,TERRENO,-34.609996,-58.471583,207,219000,VILLA GRAL. MITRE,11,-58.4635405106286,2242.61679429859,310,Obelisco,8283.50238923183
809,VTA,TERRENO,-34.5601594,-58.4715658,386,1070000,COGHLAN,12,VTA,TERRENO,-34.5601594,-58.4715658,386,1070000,COGHLAN,12,-58.4753485,663.891059194042,VTA,TERRENO,-34.5601594,-58.4715658,386,1070000,COGHLAN,12,-58.4623784082243,980.875340805367,337,Obelisco,9565.56084178707
810,VTA,TERRENO,-34.5958969,-58.4715637,225,440000,PATERNAL,15,VTA,TERRENO,-34.5958969,-58.4715637,225,440000,PATERNAL,15,-58.4935315,2104.61822357982,VTA,TERRENO,-34.5958969,-58.4715637,225,440000,PATERNAL,15,-58.4662272046921,1397.8037491166,87,Obelisco,8298.6641058389
811,VTA,TERRENO,-34.546897,-58.471403,194,900000,SAAVEDRA,12,VTA,TERRENO,-34.546897,-58.471403,194,900000,SAAVEDRA,12,-58.4628516,800.004061529517,VTA,TERRENO,-34.546897,-58.471403,194,900000,SAAVEDRA,12,-58.4623784082243,1275.59758380165,472,Obelisco,10375.3738536506
812,VTA,TERRENO,-34.6860853,-58.4713378,240,180000,VILLA RIACHUELO,8,VTA,TERRENO,-34.6860853,-58.4713378,240,180000,VILLA RIACHUELO,8,-58.4769699,1119.5260484545,VTA,TERRENO,-34.6860853,-58.4713378,240,180000,VILLA RIACHUELO,8,-58.4616517616898,4827.35647627012,220,Obelisco,12295.6195040075
